Date,IWO,TLT,QQQ
9/22/2017,170.297852,117.026085,140.665314
9/25/2017,169.887787,117.75869,139.183853
9/26/2017,170.109756,117.54538,139.544464
9/27/2017,173.845032,115.774254,140.801804
9/28/2017,174.35347,115.431137,140.753067
9/29/2017,174.989014,115.690765,141.766678
10/2/2017,177.208694,115.47892,141.893417
10/3/2017,177.648666,115.590439,142.195587
10/4/2017,177.531326,115.599731,142.332016
10/5/2017,177.687805,115.163002,143.72583
10/6/2017,177.91272,114.837791,143.920746
10/9/2017,176.885971,115.200188,143.755066
10/10/2017,176.993561,115.386024,143.862289
10/11/2017,177.022903,115.609001,144.291122
10/12/2017,176.954437,116.101494,144.027954
10/13/2017,176.45578,116.937752,144.583557
10/16/2017,176.240662,116.854118,145.080612
10/17/2017,175.839752,117.0028,145.265808
10/18/2017,176.719788,116.23156,145.090363
10/19/2017,176.348206,116.435982,144.554306
10/20/2017,177.374893,115.200188,144.944183
10/23/2017,176.250443,115.404587,143.998734
10/24/2017,176.553543,114.689125,144.242371
10/25/2017,175.634399,114.140915,143.696579
10/26/2017,176.054855,113.759941,143.23848
10/27/2017,177.541138,114.512573,147.41008
10/30/2017,175.761536,115.609001,147.741516
10/31/2017,177.570465,115.646179,148.297043
11/1/2017,176.093994,116.161095,148.248322
11/2/2017,176.113556,116.673241,147.965668
11/3/2017,176.778442,116.989838,149.388702
11/6/2017,176.846863,117.42749,149.895538
11/7/2017,174.861923,117.920975,149.983231
11/8/2017,175.70285,117.660248,150.587555
11/9/2017,174.646805,117.325043,149.79805
11/10/2017,174.71524,115.555855,149.788284
11/13/2017,174.627274,115.797958,149.97348
11/14/2017,174.148132,116.580116,149.427673
11/15/2017,173.199631,117.846497,148.725906
11/16/2017,176.397079,116.82222,150.626511
11/17/2017,176.856659,117.688194,150.051453
11/20/2017,178.196274,117.641632,149.934494
11/21/2017,180.386551,118.014091,151.56221
11/22/2017,179.985687,118.395866,151.747421
11/24/2017,180.533264,118.069962,152.302963
11/27/2017,179.67276,117.902382,152.234741
11/28/2017,182.254181,118.060646,152.624619
11/29/2017,181.687057,116.896706,149.963745
11/30/2017,182.625778,116.505638,151.221069
12/1/2017,181.618622,118.077827,150.577789
12/4/2017,180.02478,118.133797,148.842865
12/5/2017,178.724289,118.721603,148.940353
12/6/2017,177.942047,119.132187,149.612839
12/7/2017,179.897659,118.199135,150.119705
12/8/2017,180.239883,118.20845,150.782501
12/11/2017,180.093231,117.965866,151.952072
12/12/2017,179.183853,117.919182,151.747421
12/13/2017,180.787476,118.805603,152.039825
12/14/2017,178.900314,119.309464,151.932602
12/15/2017,181.462143,119.757309,153.657761
12/18/2017,183.672012,118.665657,154.94603
12/19/2017,182.684433,117.126106,154.027954
12/20/2017,183.143982,115.82917,153.861908
12/21/2017,183.817169,116.50428,153.881439
12/22/2017,183.562408,116.6632,153.705643
12/26/2017,183.689804,117.009178,152.875443
12/27/2017,183.6996,118.533272,152.894958
12/28/2017,184.414886,118.430397,153.080521
12/29/2017,182.945099,118.617409,152.133148
1/2/2018,184.72847,117.336449,154.799576
1/3/2018,185.326202,117.897438,156.30368
1/4/2018,185.747528,117.878746,156.577194
1/5/2018,186.345276,117.542168,158.149673
1/8/2018,186.217926,117.467323,158.76503
1/9/2018,186.42366,115.896492,158.77478
1/10/2018,186.100296,115.756248,158.40361
1/11/2018,189.235977,116.233093,159.487778
1/12/2018,189.980682,116.429451,160.659851
1/16/2018,187.511337,116.915688,160.20079
1/17/2018,189.275162,116.756714,161.929535
1/18/2018,188.403046,115.672066,161.958893
1/19/2018,191.03894,115.064308,162.466751
1/22/2018,192.361832,115.176498,164.205338
1/23/2018,193.292664,115.672066,165.562943
1/24/2018,191.891449,115.045593,164.488556
1/25/2018,192.352005,115.98999,164.429977
1/26/2018,193.75322,115.559891,166.949875
1/29/2018,192.949738,114.75576,166.139236
1/30/2018,190.95076,114.082542,164.77182
1/31/2018,189.853302,114.75576,165.455521
2/1/2018,190.646988,113.092651,164.049057
2/2/2018,186.698044,112.043213,160.777039
2/5/2018,179.505676,113.10202,154.438156
2/6/2018,182.01416,112.399269,158.530579
2/7/2018,182.161163,111.331139,156.479507
2/8/2018,176.242645,111.209335,149.876877
2/9/2018,177.771271,110.50663,152.46521
2/12/2018,179.731079,110.993835,155.170685
2/13/2018,180.250381,111.49041,155.971603
2/14/2018,183.94458,110.253609,158.891983
2/15/2018,186.227707,110.628372,161.84166
2/16/2018,186.58049,111.228065,161.118927
2/20/2018,185.639771,110.740845,161.441208
2/21/2018,185.816162,109.382225,160.982162
2/22/2018,185.669159,109.71019,160.962631
2/23/2018,188.011078,110.684624,164.25415
2/26/2018,189.510315,110.722122,166.43222
2/27/2018,187.227203,110.562805,164.371353
2/28/2018,184.630493,111.265556,163.316528
3/1/2018,183.601593,112.025078,160.650085
3/2/2018,187.256607,111.11438,162.124924
3/5/2018,188.628403,110.813934,163.922058
3/6/2018,190.842957,110.917213,164.61554
3/7/2018,192.822357,110.795158,164.996429
3/8/2018,193.116318,111.433609,165.9048
3/9/2018,196.173553,110.701286,169.127945
3/12/2018,196.555725,111.339691,170.02655
3/13/2018,195.438644,111.903038,167.711746
3/14/2018,194.919312,112.888824,167.682388
3/15/2018,193.606262,112.888824,167.535934
3/16/2018,194.223572,112.485123,167.037766
3/19/2018,192.322617,112.128365,163.473846
3/20/2018,192.881119,111.677719,164.011902
3/21/2018,193.939392,111.799759,163.29776
